Name,Serving size,Serving unit,Serving weight (g),Calories,Protein,Fats,Saturated fats,Monounsaturated fats,Polyunsaturated fats,Trans fats,Carbs,Total sugars,Added sugars,Fiber,Sodium,Potassium,Cholesterol
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",1,steak,284,155,22.8,6.39,2.56,2.71,0.364,0.306,0,0,0,0,45,282,58
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",1,roast,690,122,23.4,2.48,0.953,0.951,0.192,0.129,0,0,0,0,50,312,62
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",1,roast,788,123,23.7,2.41,0.924,0.886,0.208,0.125,0,0,0,0,55,316,63
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",1,steak,525,145,22.7,5.32,2.07,1.9,0.259,0.28,0,0,0,0,43,266,57
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",1,steak,360,219,27.3,11.4,4.68,4.67,0.514,0.594,0,0,0,0,67,283,80
"Carrots, frozen, unprepared",100,g,100,37,0.81,0.47,0,0,0.163,0,7.92,0,0,3.2,66,210,0
"Cheese, dry white, queso seco",1,cup,97.3,326,24.5,24.3,13.7,5.7,1.06,0.877,2.07,0,0,0,1810,116,78
"Cheese, ricotta, whole milk",0.2,cup,64.6,157,7.81,11,6.97,2.56,0.389,0.351,6.86,0,0,0,105,230,48
"Cheese, swiss",1,slice,21.9,393,27,31,18.2,7.26,1.14,0.993,1.44,0,0,0,185,71,93
"Figs, dried, uncooked",1,each,8.4,249,3.3,0.92,0,0,0,0,63.9,0,0,9.8,10,680,0
"Lettuce, cos or romaine, raw",1,bunch,581,17,1.24,0.26,0,0,0,0,3.24,0,0,1.8,0,253,0
"Melons, cantaloupe, raw",1,wedge,69,34,0.82,0.18,0,0,0,0,8.16,0,0,0.8,30,157,0
"Oranges, raw, navels",1,cup,165,47,0.91,0.15,0,0,0,0,11.8,0,0,2,9,166,0
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",1,cup,246,43,3.38,0.95,0.568,0.21,0.032,0.036,5.18,0,0,0,39,159,5
"Pears, raw, bartlett",1,cup,140,57,0.38,0.16,0,0,0,0,15.1,0,0,3.1,7,87,0
"Restaurant, Chinese, sweet and sour pork",1,order,611,260,8.88,13.6,2.68,3.49,7.05,0.087,25.5,0,0,1,304,152,24
"Salt, table, iodized",1,teaspoon,6.1,0,0,0,0,0,0,0,0,0,0,0,38700,2,0
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",1,cup,246,34,3.43,0.08,0.049,0.017,0.006,0,4.92,0,0,0,41,167,3
"Sauce, salsa, ready-to-serve",2,tablespoon,35.7,29,1.44,0.19,0,0,0,0,6.74,0,0,1.8,656,258,0
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",1,cup,245,50,3.36,1.9,1.11,0.4,0.058,0.07,4.9,0,0,0,39,159,8
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",1,link,18.6,328,13.3,28.7,11.3,12.7,1.91,1.18,3.37,0,0,0,866,263,61
