food_id,serving_text,serving_weight,is_grams
4718,130 g,130.0,True
4719,4 cintitas (30 g),30.0,True
4720,200 ml,200.0,False
4721,1 portion (5 g),5,True
4722,30g (1 barra),30.0,True
4723,22 g,22.0,True
4724,1 portion (31 g),31.0,True
4725,2 portion (50 g),50.0,True
4726,30 g,30.0,True
4727,80 g,80.0,True
4728,9 unidades (85 g),85.0,True
4729,1 portion (2u.) (90 g),90.0,True
4730,20 g,20,True
4731,75 g,75.0,True
4732,85 g,85.0,True
4733,70 g,70.0,True
4734,1 portion (45 g),45.0,True
4735,7 unidades (130 g),130.0,True
4736,1 portion (130 g),130.0,True
4737,73 g,73,True
4738,1 portion (31 g),31.0,True
4739,40 g,40.0,True
4740,60 g (1 bola),60.0,True
4741,180 g (1 unidad),180.0,True
4742,200 ml (1 vaso),200.0,False
4743,100 g,100.0,True
4744,30 g (1/2 taza),30.0,True
4745,25 g,25.0,True
4746,50 g,50.0,True
4747,100 g,,True
4748,1 egg (50 g),50.0,True
4749,1 portion (40 g),40.0,True
4750,3 tablespoon (60 g),60.0,True
4751,1 portion (30 g),30.0,True
4752,1 portion (25 g),25.0,True
4753,2 tablespoon (30 g),30.0,True
4754,38 g,38.0,True
4755,1 huevo (62 g),62.0,True
4756,500ml,500.0,False
4757,2 fetas (40 g),40.0,True
4758,1 portion (160 g),160.0,True
4759,41.5 g (1 unidad),41.5,True
4760,60 g (1 bola),60.0,True
4761,1 slice (20 g),20.0,True
4762,1 portion (83 g),83.0,True
4763,80 g,80.0,True
4764,2 slices (61 g),61,True
4765,1 portion (12 g),12.0,True
4766,1 portion (30 g),30.0,True
4767,1 portion (40 g),40.0,True
4768,1 portion (30 g),30.0,True
4769,1 portion (130 g),130,True
4770,30 g,30.0,True
4771,100 g,,True
4772,80 g,80.0,True
4773,60g,60.0,True
4774,1 portion (65 g),65,True
4775,1 portion (60 g),60.0,True
4776,200ml,200.0,False
4777,80 g,80.0,True
4778,1 portion (100 g),100.0,True
4779,1 tbsp (10 g),10.0,True
4780,1 portion (60 g),60.0,True
4781,30 g,30.0,True
4782,12 g,12.0,True
4783,1 portion (60 g),60.0,True
4784,1 portion (30 g),30.0,True
4785,1 portion (15 ml),15.0,False
4786,60g,60.0,True
4787,60g,60.0,True
4788,1 portion (100 g),100,True
4789,130 g,130.0,True
4790,1 portion (20 g),20.0,True
4791,1 portion (40 g),40.0,True
4792,50 g,50.0,True
4793,50 g,50.0,True
4794,1 portion (25 g),25.0,True
4795,1 portion (40 g),40,True
4796,15gr,15.0,True
4797,50g,50.0,True
4798,40 g,40,True
4799,6 crackers (30 g),30.0,True
4800,1 portion (60 g),60.0,True
4801,30 g,30.0,True
4802,130 g,130.0,True
4803,1 portion (32 g),32,True
4804,1 portion (30 g),30.0,True
4805,1 medio roll (115 g),115.0,True
4806,1 tablespoon (20 g),20,True
4807,25 g,25.0,True
4808,20g,20.0,True
4809,1 portion (30 g),30.0,True
4810,1 portion (25 g),25.0,True
4811,1 portion (60 g),60.0,True
4812,2 pieces (50 g),50.0,True
4813,130g,130.0,True
4814,100 g,100.0,True
4815,1 portion (50 g),50.0,True
4816,1 portion (10 g),10.0,True
4817,25 units (25 g),25.0,True
4818,25 g,25.0,True
4819,2 units (50 g),50.0,True
4820,1 portion (20 g),20.0,True
4821,1 portion (15 g),15.0,True
4822,1 portion (30 g),30,True
4823,30 g,30.0,True
4824,1 portion (92 g),92.0,True
4825,1 portion (80 g),80.0,True
4826,80 g,80,True
4827,1 portion (30 g),30.0,True
4828,50 g,50.0,True
4829,130 g,130,True
4830,8 g,8,True
4831,6 galletas (30 g),30.0,True
4832,4 unidades (30 g),30.0,True
4833,1 portion (65 g),65,True
4834,50 g,50,True
4835,1 tbsp (25 g),25.0,True
4836,1 portion (50 g),50.0,True
4837,1 portion (12 g),12.0,True
4838,36g,36,True
4839,100 g,,True
4840,50g,50.0,True
4841,100 g,,True
4842,1 pot (175 g),175,True
4843,1 portion (46 g),46,True
4844,13 ml,13.0,False
4845,55 g,55,True
4846,1 portion (40 g),40.0,True
4847,4 tbsp (25 g),25.0,True
4848,50 g,50.0,True
4849,60 g,60,True
4850,15 g,15.0,True
4851,1 portion (12 g),12.0,True
4852,60 g,60.0,True
4853,60 g,60.0,True
4854,12 g,12.0,True
4855,30 g,30.0,True
4856,1 portion (15 g),15.0,True
4857,1 portion (65 g),65.0,True
4858,35 g,35,True
4859,80 g,80.0,True
4860,3 tbsp (60 g),60.0,True
4861,1 portion (20 g),20.0,True
4862,50 g,50.0,True
4863,1 portion (60 g),60.0,True
4864,30 g,30.0,True
4865,30 g,30.0,True
4866,7 g,7.0,True
4867,120 g,120,True
4868,1 portion (30 g),30.0,True
4869,0.25 cup (40 g),40.0,True
4870,12 g,12.0,True
4871,40 g,40.0,True
4872,200 ml,200.0,False
4873,1 portion (6.3 g),6.3,True
4874,1 portion (40 g),40.0,True
4875,1 portion (13.8 g),13.8,True
4876,1 scoop (31 g),31.0,True
4877,3 slices (60 g),60.0,True
4878,1 portion (25 g),25.0,True
4879,3 unidades (25 g),25.0,True
4880,15g,15.0,True
