id,barcode,name
461,7792200020096,Gallentitas Paseo Con Salvado
462,7792260639597,"Peach Marmalade, Peach, Orieta"
463,7792280000469,"Yerba Cachamate X Amarilla 500 G, "
464,7792360072423,Mecano
465,7792710000014,Amanda - yerba mate1KG
466,7792710000021,"Amanda Yerba Mate, Amanda"
467,7792710000038,"Yerba Mate Amanda, Adams"
468,7792710000090,"Yerba mate amanda especial, amanda"
469,7792710000113,Yerba Mate Amanda Organic 500G
470,7792710000151,"Amanda Yerba Mate Tea Bags X25, Amanda"
471,7792710000182,"Yerba Mate Tradicional, Amanda"
472,7792710002179,"Yerba Mate, Amanda"
473,7792798007387,"clasica, Quilmes"
474,7792799000639,"Eco One Agua, ECO de los Andes S.A."
475,7792900000336,"Chimichurri Dos Anclas 380GR, Dos Anclas"
476,7792931000022,"Glaciar Agua, glaciar"
477,7793046041443,Dulce de membrillo
478,7793104000191,"Aceite de oliva orgánico, Fincas El Renuevo"
479,7793450000616,"Hojalmar, Puffy Crisp Pastries, Hojalmar S.A."
480,7793450000623,"Sugar Glazed Pastries, Hojalmar"
481,7793670000670,"Yerba Mate compuesta, Verdeflor"
482,7793704000232,"Playadito, Playadito"
483,7793817000020,"Dulce de frambuesa &quot;Cabaña Micó&quot;, Cabaña Micó"
484,7793913000337,"Creme chantilly tregar 3262342, Tregar"
485,7793913000894,"Yogur descremado Tregar Frutilla, Tregar"
486,7793940044007,"Colonial Style Milk Caramel, Jaserenisima"
487,7794000597471,Soup Quick Crema Pollo
488,7794000598805,"Knorr, Knorr"
489,7794000960091,"Mayonesa, Hellmann's"
490,7794450008053,"Malbec, Catena"
491,7794710005037,"DULCE DE LECHE, Veronica"
492,7794940000826,"Clasico, Hileret"
493,7796043929080,"Aceite de coco, Mk Organic"
494,7796373002682,"Chimi Churri, La Parmesana"
495,7796425000048,"Dulce de leche, Lapataia"
496,7797429007163,"Papas Fritas LE.Q, Le.Q"
497,7797674049864,"Nature Valley Crunch Granola Bars Apple Crunch, Nature valley"
498,7798018850320,levex
499,7798031154153,"spaghetti, Knorr"
500,7798039910072,"Alfajores Por Tres, Capitán del Espacio"
501,7798054490177,Dulce de leche
502,7798059750023,"Yerba Maté, Iso, Irto, Kraus"
503,7798059750078,Yerba Mate Organica
504,7798059750252,Mate Tee Kraus Mate Organica 500g - Bio Und Fair Trade
505,7798059750269,Yerba Mate Kraus Pure Leaf Organic 500G (1X500G)
506,7798082743726,"Tostaditas de arroz, "
507,7798085680141,"Citric, citric"
508,7798085680165,"Jugo de pomelo con pulpa, Citric"
509,7798101650530,"Caméléon malbec 2018, cameleon"
510,7798108347891,"Ananás en rodajas, Carrefour"
511,7798108830980,"Lunaris - Malbec - 2018, Lunaris"
512,7798120330017,"Dulce de Leche Dietetica, Regidiet"
513,7798126290346,"Traditional argentine seasoning, Marian Arytza"
514,7798128000165,"Alfajores Dulce de Leche, Cachafaz"
515,7798128000462,"Alfajores Chocolate Negro, Cachafaz"
516,7798128000493,"Alfajores Chocolate Blanco, Cachafaz"
517,7798128001902,"Dulce de Leche, Cachafaz"
518,7798132271605,Filet de poulet sans os sans peau congelé
519,7798137950055,"Beagle, Beagle"
520,7798147780055,"bombones, FraNui,RapaNui"
521,7798194230022,Langostinos argentinos crudos
522,7798196750016,"Miel de abejas, fecoapi"
523,7798263400028,"Semillas de Chia, Bonchía"
524,77915818,"Cereal Mix Light Manzana & Avena, Arcor,Cereal Mix"
525,77922663,"Menthoplus mentol, Arcor"
